127.0.0.1 - - [26/Oct/2021:09:14:42 +0900] "GET / HTTP/1.1" 404 902
0:0:0:0:0:0:0:1 - - [26/Oct/2021:09:14:42 +0900] "GET /guestbook/cart.jsp HTTP/1.1" 200 1942
0:0:0:0:0:0:0:1 - - [26/Oct/2021:09:14:42 +0900] "GET /vendor/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2021:09:14:42 +0900] "GET /favicon.ico HTTP/1.1" 404 902
0:0:0:0:0:0:0:1 - - [26/Oct/2021:09:14:44 +0900] "GET /guestbook/welcome.jsp HTTP/1.1" 200 1324
0:0:0:0:0:0:0:1 - - [26/Oct/2021:09:14:49 +0900] "GET /guestbook/welcome.jsp HTTP/1.1" 200 1324
0:0:0:0:0:0:0:1 - - [26/Oct/2021:09:14:54 +0900] "GET /guestbook/welcome.jsp HTTP/1.1" 200 1324
0:0:0:0:0:0:0:1 - - [26/Oct/2021:09:15:00 +0900] "GET /guestbook/welcome.jsp HTTP/1.1" 200 1323
0:0:0:0:0:0:0:1 - - [26/Oct/2021:09:15:05 +0900] "GET /guestbook/welcome.jsp HTTP/1.1" 200 1323
0:0:0:0:0:0:0:1 - - [26/Oct/2021:09:15:10 +0900] "GET /guestbook/welcome.jsp HTTP/1.1" 200 1324
0:0:0:0:0:0:0:1 - - [26/Oct/2021:09:15:15 +0900] "GET /guestbook/welcome.jsp HTTP/1.1" 200 1324
0:0:0:0:0:0:0:1 - - [26/Oct/2021:09:15:20 +0900] "GET /guestbook/products.jsp HTTP/1.1" 200 3187
0:0:0:0:0:0:0:1 - - [26/Oct/2021:09:15:20 +0900] "GET /images/P1234.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2021:09:15:20 +0900] "GET /images/P1235.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2021:09:15:20 +0900] "GET /images/P1236.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2021:09:15:20 +0900] "GET /images/z_flip31.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2021:09:23:18 +0900] "GET /guestbook/products.jsp HTTP/1.1" 200 3187
0:0:0:0:0:0:0:1 - - [26/Oct/2021:09:23:20 +0900] "GET /guestbook/addProduct.jsp HTTP/1.1" 200 4008
0:0:0:0:0:0:0:1 - - [26/Oct/2021:09:23:20 +0900] "GET /js/validation.js HTTP/1.1" 304 -
