127.0.0.1 - - [02/Nov/2021:15:39:25 +0900] "GET / HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [02/Nov/2021:15:39:45 +0900] "GET /welcome HTTP/1.1" 200 1208
0:0:0:0:0:0:0:1 - - [02/Nov/2021:15:39:45 +0900] "GET /resources/css/bootstrap.min.css HTTP/1.1" 200 144877
0:0:0:0:0:0:0:1 - - [02/Nov/2021:15:39:45 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [02/Nov/2021:15:39:47 +0900] "GET /addProduct HTTP/1.1" 200 3496
0:0:0:0:0:0:0:1 - - [02/Nov/2021:15:39:47 +0900] "GET /resources/js/validation.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2021:15:39:50 +0900] "GET /products HTTP/1.1" 200 3630
0:0:0:0:0:0:0:1 - - [02/Nov/2021:15:39:50 +0900] "GET /resources/images/36d93623-38dd-4a7d-aabe-518ef23dcfabjuwon_sheep.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2021:15:39:50 +0900] "GET /resources/images/S6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2021:15:39:50 +0900] "GET /resources/images/17044407-c4e0-40cc-8475-613631bec2d4twitter.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2021:15:39:50 +0900] "GET /resources/images/2d78b57f-3764-4303-9898-8a0411c63d14twitter.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2021:15:39:50 +0900] "GET /resources/images/z_flip31.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2021:15:39:51 +0900] "GET /addProduct HTTP/1.1" 200 3496
0:0:0:0:0:0:0:1 - - [02/Nov/2021:15:40:21 +0900] "POST /processAddProduct HTTP/1.1" 200 4005
0:0:0:0:0:0:0:1 - - [02/Nov/2021:15:40:21 +0900] "GET /resources/images/KakaoTalk_20211102_152352654.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [02/Nov/2021:15:40:25 +0900] "GET //welcome HTTP/1.1" 200 1208
0:0:0:0:0:0:0:1 - - [02/Nov/2021:15:40:25 +0900] "GET ///welcome HTTP/1.1" 200 1208
0:0:0:0:0:0:0:1 - - [02/Nov/2021:15:40:26 +0900] "GET /products HTTP/1.1" 200 4005
0:0:0:0:0:0:0:1 - - [02/Nov/2021:15:40:26 +0900] "GET /resources/images/KakaoTalk_20211102_152352654.png HTTP/1.1" 200 1607078
